81;67
22;25
16;50
5;21
0;14
9;33
6;10
72;6
79;73
33;76
82;67
15;74
73;8
77;55
44;69
40;75
65;27
70;52
44;26
5;26
32;0
21;5
7;8
33;15
67;18
8;2
20;14
72;23
20;0
32;20
31;58
76;25
16;1
56;24
61;14
26;33
50;16
64;67
65;79
74;15
63;52
33;26
59;21
8;71
17;82
14;32
5;7
66;53
67;11
66;67
59;24
18;3
57;16
14;0
25;33
26;5
72;10
36;5
27;79
13;74
36;7
21;44
20;61
82;11
78;15
44;5
13;78
59;56
35;24
67;66
51;14
64;37
26;9
8;73
33;9
11;17
22;26
2;34
33;78
19;43
68;44
52;8
56;35
54;55
10;72
26;14
80;35
15;33
58;31
52;63
19;52
63;70
75;8
78;33
17;30
52;19
37;64
30;82
20;32
74;13
44;31
1;16
52;70
2;8
40;8
25;26
35;56
79;27
5;36
25;76
24;59
41;14
10;6
7;5
55;49
16;51
35;28
53;66
30;11
8;75
8;34
34;8
62;54
31;68
76;26
52;7
67;53
31;44
70;63
67;81
21;60
43;19
77;54
28;35
60;21
55;77
7;36
21;72
82;30
46;62
61;32
16;29
76;33
15;13
3;18
25;22
69;44
51;57
67;38
14;51
17;67
24;35
44;68
7;52
38;5
59;35
32;14
11;30
38;81
67;39
48;52
82;17
77;49
8;79
29;16
68;31
8;7
55;54
54;77
38;67
60;72
8;40
72;42
33;74
67;82
35;45
12;31
67;64
30;67
45;35
67;17
0;20
49;54
52;48
57;51
62;46
5;8
71;8
67;37
47;45
5;44
6;72
23;42
72;21
73;79
16;57
33;25
26;44
72;60
78;74
26;76
14;26
30;17
18;67
45;47
17;11
13;33
54;49
23;72
33;13
42;23
61;20
13;15
38;46
49;55
51;16
74;33
79;65
8;5
81;38
74;78
14;41
15;78
11;67
32;61
14;61
31;12
35;59
67;30
37;67
53;67
8;52
11;82
46;54
